,classifier,recall score,train size,test size,train time,parameters
4,Boost,1.0,8000,5964,0.1051s,"{'n_estimators': 50, 'learning_rate': 4.11}"
0,Decision Tree,0.9737827715355806,17892,5964,0.0191s,"{'ccp_alpha': 0.00018, 'min_samples_leaf': 1}"
3,SVM,0.9101123595505618,8000,5964,1.4481s,"{'kernel': 'poly', 'degree': 6, 'class_weight': 'balanced', 'max_iter': 7000}"
1,MLP,0.7078651685393258,17892,5964,17.4719s,"{'hidden_layer_sizes': (172,), 'activation': 'logistic'}"
2,KNN,0.5430711610486891,17892,5964,0.0422s,"{'k': 1, 'weights': 'uniform'}"
